Date,Total Users,Total new users,Published datasets (metastore),Published datasets (DB),Unlisted datasets,Unlisted datasets (extracting our datasets),Private datasets,Private datasets(extracting our datasets),Total datasets,Number of pushes,Number of pushes (excluding us),Speed of a 1Mb of packaged dataset push (in seconds),Speed of a 5kb of packaged dataset push (in seconds),Clicks on download link (csv + json + zip),cli-macos,cli-linux,cli-windows,data-desktop,Total downloads,Download page (unique pageviews),sign-in-pricing-page,sign-up-pricing-page,contact-us-pricing-page,Pricing page (unique pageviews),Site Traffic,Data stored (Published),Data growth,Total number of data requests,Comment
2017-12-26,424,1,211,318,168,,3,,489,34,,37.46,29.84,218,1,1,,5,7,24,,,,,569,3398240342,0,,
2017-12-27,424,0,211,318,170,,3,,491,20,,50.66,35.21,240,2,3,,4,9,45,,,,,695,3398240576,234,,
2017-12-28,428,4,211,318,176,,3,,497,46,,72.82,22.1,193,0,0,,4,4,17,,,,,721,3398240808,232,,
2018-01-03,435,7,211,318,185,,3,,506,23,,69.05,40.89,320,0,0,,1,1,18,,,,,897,3398241526,718,,"cli-mac downlaods did not appear on GA, I will try later"
2018-01-04,439,4,304,411,194,,3,,608,200,,40.51,61.59,359,0,1,,0,1,17,,,,,955,3834105804,"435,864,278",,
2018-01-05,444,5,340,447,163,,3,,613,66,,56.39,28.28,338,0,0,,0,0,11,,,,,846,5959906733,"2,125,800,929",,
2018-01-08,445,1,344,451,161,,3,,615,55,,46.18,32.78,287,0,0,,0,0,18,,,,,930,5990358597,"30,451,864",,
2018-01-09,450,5,297,404,216,,3,,623,37,,55.83,54.65,368,0,0,,0,0,17,,,,,1046,5850332271,"-140,026,326",,
2018-01-10,454,4,299,406,219,,3,,628,40,,54.97,54.03,360,0,0,,1,1,19,,,,,1056,5866204060,"15,871,789",,download links for `data-desktop` works
2018-01-11,457,3,299,406,221,,3,,630,12,,42.85,52.75,368,0,1,,1,2,23,,,,,1069,5866206370,"2,310",,
2018-01-12,462,5,299,406,224,,3,,633,12,,43.67,54.7,309,2,0,,1,3,13,,,,,863,5866204390,"-1,980",,
2018-01-15,463,1,299,406,228,,3,,637,25,,53.16,67.23,343,0,0,,6,6,22,,,,,965,5866213916,"9,526",,
2018-01-16,463,0,299,406,229,,3,,638,15,,49.43,73.68,406,0,0,,0,0,13,,,,,1106,5823074088,"-43,139,828",,
2018-01-17,467,4,299,406,233,,3,,642,15,,58.5,55.95,375,0,0,,1,1,20,,,,,1072,5866219508,"43,145,420",1,
2018-01-18,472,5,302,409,247,,6,,662,91,,48.75,31.52,414,0,2,,3,5,19,,,,,1096,5952341998,"86,122,490",2,
2018-01-19,477,5,304,411,252,,7,,670,37,,46.72,34.81,330,0,0,,0,0,18,,,,,982,6286067359,"333,725,361",3,
2018-01-22,478,1,304,411,257,,7,,675,15,,84.14,49.13,462,1,0,,1,2,12,,,,,1011,6286068421,"1,062",0,
2018-01-23,480,2,304,411,259,,7,,677,27,,45.98,32.77,446,0,0,,0,0,17,,,,,1052,6286069389,968,1,
2018-01-24,485,5,306,413,261,,7,,681,23,,35.2,30.65,447,0,1,,1,2,20,1,0,0,30,1052,6286455038,"385,649",0,
2018-01-25,490,5,306,413,264,,7,,684,15,,65.49,46.23,428,0,1,,4,5,25,0,0,0,29,965,6286460495,"5,457",1,sign-up botton is not showing
2018-01-26,498,8,306,413,268,,7,,688,19,,83.49,27.62,309,0,0,,1,1,11,2,1,0,26,852,6286487928,"27,433",3,sign-up botton is now showing
2018-01-29,503,5,307,414,281,,7,,702,34,,72.11,56.8,433,0,0,,1,1,13,0,0,0,24,1096,6293731996,"7,244,068",0,download link for `macos` disappeared
2018-01-30,505,2,308,415,304,,9,,728,53,,75.98,43.38,399,0,0,,0,0,28,1,0,1,27,1095,6293736689,"4,693",0,
2018-01-31,510,5,308,415,329,,9,,753,42,,79.86,72.13,405,4,4,11,1,20,37,1,0,0,27,1027,6293736922,233,1,all download links are working fine. They dissapear somehow if events do not trigger
2018-02-01,512,2,308,415,354,,13,,782,47,,48.57,29.05,338,4,0,7,1,12,33,0,0,0,18,1025,6293736778,-144,0,
2018-02-02,514,2,308,415,365,,13,,793,38,,57.36,40.67,368,2,2,1,0,5,28,2,0,0,30,921,6293737837,"1,059",1,Speed tests are paused since showcase page was frozen again. This last time happened because of the redis memory iissue.
2018-02-05,518,4,308,415,385,,13,,813,53,,58.33,45.1,409,0,0,7,0,7,31,1,0,1,18,1034,6293743853,"6,016",2,Speed tests are paused since showcase page was frozen again. This last time happened because of the redis memory iissue.
2018-02-06,518,0,308,415,386,,12,,813,20,,62.7,51,421,0,0,3,0,3,30,0,0,0,17,1097,6293743853,0,1,Speed tests are paused since showcase page was frozen again. This last time happened because of the redis memory iissue.
2018-02-07,518,0,308,415,401,,12,,828,29,,68.09,61.34,477,0,0,6,1,7,35,2,0,0,19,1075,6293744870,"1,017",0,
2018-02-08,518,0,308,415,434,,15,,864,140,,52.2,47.9,437,4,4,9,0,17,44,0,0,0,24,1082,6294264605,"519,735",1,
2018-02-09,521,3,308,415,437,,15,,867,37,,55.22,58.2,449,1,0,5,0,6,47,0,0,0,20,1085,6294271075,"6,470",5,
2018-02-12,523,2,309,416,442,,15,,873,36,,38.1,35.26,411,3,2,4,6,15,28,0,0,0,20,1059,6331647396,"37,376,321",2,
2018-02-13,527,4,309,416,442,,15,,873,118,,76.66,49.1,360,1,0,4,0,5,31,1,2,0,32,998,6292052976,"-39,594,420",1,
2018-02-14,530,3,309,416,453,,15,,884,42,,38.41,25.47,356,2,0,3,1,6,37,1,0,0,24,1063,6292054651,"1,675",1,
2018-02-15,533,3,309,416,503,,17,,936,392,,43.5,29.76,485,3,3,7,1,14,36,2,0,0,27,1015,6292054917,266,1,
